[pliability] = [pliancy, pliantness, flexibility, flexibleness, suppleness, 1]
[storksbill] = [redstem_storksbill, alfilaria, alfileria, filaree, filaria, -1]
[storm] = [rainstorm, atmospheric_phenomenon, northeaster, noreaster, hailstorm, -1]
[storm_center] = [hurly_burly, kerfuffle, commotion, disruption, disturbance, -1]
[storminess] = [roughness, inclemency, bad_weather, inclementness, windiness, -1]
[strabismus] = [divergent_strabismus, exotropia, walleye, abnormality, abnormalcy, -1]
[straggler] = [drone, poke, dawdler, laggard, lagger, -1]
[straining] = [sweat, effort, elbow_grease, exertion, travail, -1]
[straiten] = [discommode, incommode, inconvenience, put_out, disoblige, -1]
[straitjacket] = [deterrent, handicap, balk, baulk, impediment, -1]
[strangeness] = [freakishness, quaintness, abnormality, queerness, crotchet, -1]
[stranger] = [outsider, foreigner, intruder, interloper, trespasser, -1]
[strategy] = [contrivance, bubble, house_of_cards, stratagem, waiting_game, 1]
[straw_man] = [beguiler, slicker, deceiver, cheat, cheater, -1]
[strawman] = [beguiler, slicker, deceiver, cheat, cheater, -1]
[strayer] = [drone, poke, dawdler, laggard, lagger, -1]
[street_child] = [fry, kid, minor, tike, small_fry, -1]
[strengthen] = [undergird, secure, reenforce, vitalize, reinforce, 1]
[striated_muscle] = [voluntary_muscle, deltoid, pterygoid_muscle, abductor, abductor_muscle, 1]
[stricture] = [rhinostenosis, enterostenosis, laryngostenosis, aortic_stenosis, mitral_stenosis, -1]
[strike_a_blow] = [bear_upon, affect, impact, bear_on, touch, 1]
[stripe] = [adornment, cigar_band, hatband, neckband, pinstripe, 1]
[stuff_and_nonsense] = [meaninglessness, nonsense, bunk, nonsensicality, hokum, -1]
[stultify] = [shew, prove, demonstrate, show, establish, 1]
[stunt_man] = [backup, substitute, reliever, relief, backup_man, -1]
[stunt_woman] = [backup, substitute, reliever, relief, backup_man, -1]
[stupe] = [dunce, dunderhead, numskull, blockhead, bonehead, -1]
[stylishness] = [elegance, jauntiness, rakishness, nattiness, dapperness, 1]
[submissive] = [bowing, cringing, groveling, grovelling, wormlike, 1]
[subordinateness] = [subservientness, subservience, servant, handmaid, handmaiden, 1]
[suborn] = [misdirect, deprave, vitiate, profane, demoralize, -1]
[subscriber] = [friend, champion, supporter, protagonist, admirer, 1]
[subshrub] = [bush, wormwood, milkwort, germander, centaury, -1]
[subsidence] = [reprieve, respite, hiatus, abatement, suspension, -1]
[subsidiarity] = [subservientness, subservience, servant, handmaid, handmaiden, 1]
[subsidizer] = [giver, donor, presenter, bestower, conferrer, 1]
[substance_abuse] = [abuse, misuse, alcohol_abuse, alcoholic_abuse, alcoholism_abuse, -1]
[substantiation] = [proof, bed_check, crosscheck, parity_check, redundancy_check, 1]
[succeed] = [clear, pan_out, reach, bring_off, luck_out, 1]
[succeeder] = [great, highflier, highflyer, natural, mortal, 1]
[succeeding] = [consecutive, postmortem, ensuing, following, undermentioned, -1]
[successful] = [prosperous, flourishing, palmy, prospering, thriving, 1]
[successfulness] = [wellbeing, eudaemonia, eudaimonia, upbeat, strength, 1]
[succor] = [solace, assist, help, assistance, mercy, 1]
[succumb] = [consent, give_in, go_for, submit, accept, 1]
[suck_up] = [mop_up, blot, wipe_up, mop, sponge_up, 1]
[sucker_punch] = [lick, clout, poke, punch, biff, 1]
[sufferer] = [unfortunate, dyspeptic, invalid, psychoneurotic, psychotic, -1]
[suffice] = [go_around, fulfil, fulfill, go_a_long_way, satisfy, -1]
[suffocating] = [dyspneic, dyspnoeic, dyspneal, dyspnoeal, breathless, -1]
[suffocative] = [dyspneic, dyspnoeic, dyspneal, dyspnoeal, breathless, -1]
[suffrutex] = [bush, wormwood, milkwort, germander, centaury, -1]
[sugariness] = [taste, taste_sensation, gustatory_sensation, taste_perception, gustatory_perception, -1]
[suitability] = [fitness, quality, fittingness, convenience, appropriateness, 1]
[suitableness] = [fitness, quality, fittingness, convenience, appropriateness, 1]
[sulfa] = [antibacterial, sulfamethoxazole, sulfisoxazole, sulfadiazine, sulfacetamide, 1]
[sulfa_drug] = [antibacterial, sulfamethoxazole, sulfisoxazole, sulfadiazine, sulfacetamide, 1]
[sulfonamide] = [antibacterial, sulfamethoxazole, sulfisoxazole, sulfadiazine, sulfacetamide, 1]
[sulpha] = [antibacterial, sulfamethoxazole, sulfisoxazole, sulfadiazine, sulfacetamide, 1]
[sunbeam] = [beam, beam_of_light, light_beam, ray, ray_of_light, -1]
[sunday_punch] = [poke, clout, lick, punch, biff, -1]
[sunray] = [beam, beam_of_light, light_beam, ray, ray_of_light, -1]
[superbia] = [lordliness, mortal_sin, deadly_sin, arrogance, haughtiness, 1]
[supererogation] = [sweat, effort, elbow_grease, exertion, travail, -1]
[superficial] = [shallow, facile, ostensible, sounding, looking, -1]
[superhighway] = [autobahn, autostrada, turnpike, toll_road, highway, 1]
[superiority] = [first_class, choiceness, first_water, fineness, quality, 1]
[supernaturalism] = [exorcism, dispossession, magic, thaumaturgy, belief, -1]
[supervene] = [pass_off, fall_out, occur, happen, hap, -1]
[supportive] = [accessary, demonstrative_of, encouraging, certificatory, supporting, 1]
[supposal] = [hypothesis, theory, base, possibility, presumption, -1]
[suppress] = [still, burke, moderate, hush_up, quell, -1]
[suppressed] = [quelled, squelched, burked, quenched, unreleased, -1]
[supremacy] = [superiority, transcendence, transcendency, dominance, ascendance, 1]
[sure_thing] = [ineluctability, unavoidability, predictability, slam_dunk, inevitability, -1]
[surge] = [debris_surge, debris_storm, flowing, onrush, flow, -1]
[surgical_knife] = [lancet, catling, lance, scalpel, knife, 1]
[surpass] = [rank, outrank, shine_at, excel_at, exceed, -1]
[susceptibility] = [suggestibility, sensitivity, capacity, reactivity, predisposition, -1]
[susceptible] = [amenable, tractable, pliable, capable, vulnerable, 1]
[susceptibleness] = [suggestibility, sensitivity, capacity, reactivity, predisposition, -1]
[suspect] = [mortal, murder_suspect, robbery_suspect, rape_suspect, person, 1]
[suss_out] = [watch_over, keep_an_eye_on, watch, study, observe, 1]
[swank] = [elegance, jauntiness, rakishness, nattiness, dapperness, 1]
[sweater_girl] = [girl, miss, missy, young_lady, young_woman, 1]
[sweet_fanny_adams] = [null, zero, naught, zip, nothing, -1]
[sweet_roll] = [cross_bun, hot_cross_bun, bear_paw, bear_claw, bun, -1]
[sweet_talker] = [pretender, phony, phoney, hypocrite, dissembler, 1]
[sweeten] = [sugarcoat, honey, glaze, change_taste, sugar, 1]
[sweetener] = [aspartame, honey, saccharin, sugar, refined_sugar, 1]
[sweetening] = [aspartame, honey, saccharin, sugar, refined_sugar, 1]
[sweetness_and_light] = [amiability, affability, affableness, amiableness, bonhomie, 1]
[swell_up] = [bloat, blister, vesicate, belly, belly_out, -1]
[swelling] = [edema, oedema, hydrops, dropsy, bloat, -1]
[swordsman] = [combatant, battler, belligerent, fighter, scrapper, 1]
[swordsmanship] = [acquirement, skill, accomplishment, acquisition, attainment, 1]
[sycophant] = [apple_polisher, bootlicker, fawner, groveller, groveler, -1]
[syndactylism] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, 1]
[syndactyly] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, 1]
[synergism] = [activity, natural_process, natural_action, potentiation, action, 1]
[synovitis] = [rubor, redness, inflammation, tenosynovitis, tendosynovitis, -1]
[system_of_logic] = [system_of_rules, symbolic_logic, mathematical_logic, formal_logic, system, 1]
[system_of_rules] = [ethical_code, theosophy, anthroposophy, logic, method, 1]
[tabula_rasa] = [nous, mind, brain, psyche, head, 1]
[tact] = [considerateness, delicacy, thoughtfulness, consideration, finesse, 1]
[tactfulness] = [considerateness, delicacy, thoughtfulness, consideration, finesse, 1]
[tactility] = [somesthesia, somaesthesia, somatesthesia, somesthesis, somaesthesis, -1]
[tactual_sensation] = [cutaneous_sensation, haptic_sensation, skin_sensation, perception, creepiness, -1]
[tagger] = [mortal, person, individual, someone, somebody, 1]
[take_a_chance] = [try, assay, essay, go_for_broke, luck_it, 1]
[take_a_dive] = [dissemble, feign, sham, pretend, affect, -1]
[take_a_firm_stand] = [stand_pat, hold_firm, stand_fast, maintain, stand_firm, -1]
[take_chances] = [try, assay, essay, go_for_broke, luck_it, 1]
[take_down] = [depress, move, displace, incline, reef, -1]
[take_for] = [consider, view, regard, reckon, see, 1]
[take_it_easy] = [relax, loosen_up, unbend, unwind, decompress, -1]
[take_kindly_to] = [be_given, tend, incline, lean, run, 1]
[take_lying_down] = [endure, brook, tolerate, stomach, abide, -1]
[take_to_task] = [castigate, tell_off, brush_down, chasten, objurgate, -1]
[talebearer] = [gossip, gossiper, gossipmonger, rumormonger, rumourmonger, -1]
[taleteller] = [gossip, gossiper, gossipmonger, rumormonger, rumourmonger, -1]
[talipes] = [talipes_equinus, deformity, malformation, talipes_valgus, talipes_calcaneus, 1]
[talk] = [pious_platitude, nothingness, jazz, malarkey, malarky, -1]
[talk_through_one's_hat] = [dissemble, feign, sham, pretend, affect, -1]
[talking] = [pious_platitude, nothingness, jazz, malarkey, malarky, -1]
[talking_to] = [reprimand, rebuke, reproof, reproval, reprehension, -1]
[tamed] = [gentle, docile, tamed, broken_in, domesticated, 1]
[tangled] = [enmeshed, intermeshed, rootbound, matted, knotty, 1]
[tantalize] = [bemock, jeer, scoff, flout, chaff, -1]
[taradiddle] = [prevarication, fairytale, fairy_tale, fairy_story, song_and_dance, -1]
[tarradiddle] = [prevarication, fairytale, fairy_tale, fairy_story, song_and_dance, -1]
[tart_up] = [ornament, grace, decorate, adorn, embellish, -1]
[tartness] = [acidity, acidulousness, taste, taste_sensation, gustatory_sensation, -1]
[taste_property] = [bitter, bitterness, acidity, unpalatability, unpalatableness, -1]
[tasteful] = [understated, esthetic, aesthetic, artistic, unostentatious, 1]
[tasteless] = [unseasoned, unsalted, flavorless, flavourless, savorless, -1]
[tattler] = [gossip, gossiper, gossipmonger, rumormonger, rumourmonger, -1]
[tattletale] = [gossip, gossiper, gossipmonger, rumormonger, rumourmonger, -1]
[tautness] = [tone, tonicity, tonus, condition, status, -1]
[taxation] = [single_tax, income_tax, capital_gains_tax, capital_levy, departure_tax, 1]
[tchotchke] = [miss, girl, missy, young_lady, young_woman, -1]
[teaching] = [education, teaching_reading, spoonfeeding, lecture, catechesis, 1]
[tearaway] = [madcap, swashbuckler, lunatic, hothead, daredevil, -1]
[teething] = [precocious_dentition, growth, growing, maturation, development, -1]
[tell_off] = [call_on_the_carpet, take_to_task, chide, berate, bawl_out, -1]
[telltale] = [gossip, gossiper, gossipmonger, rumormonger, rumourmonger, -1]
[temperament] = [ill_nature, disagreeableness, unfriendliness, bloodthirstiness, aloneness, -1]
[temperance] = [natural_virtue, abstemiousness, dryness, sobriety, restraint, 1]
[temperature] = [cold, boil, simmer, low_temperature, frigidity, -1]
[tempest] = [hurly_burly, kerfuffle, commotion, disruption, disturbance, -1]
[tendency] = [understanding, propensity, leaning, favor, proclivity, 1]
[tendinitis] = [rubor, redness, inflammation, tennis_elbow, lateral_epicondylitis, -1]
[tenonitis] = [rubor, redness, inflammation, tennis_elbow, lateral_epicondylitis, -1]
[tenseness] = [tone, tonicity, tonus, condition, status, -1]
[tensity] = [tone, tonicity, tonus, condition, status, -1]
[terbinafine] = [antifungal, antifungal_agent, fungicide, antimycotic, antimycotic_agent, 1]
[territorial_dominion] = [mandatory, administrative_district, administrative_division, territorial_division, borderland, 1]
[terseness] = [laconism, laconicism, conciseness, concision, pithiness, -1]
[tertiary_syphilis] = [pox, syphilis, syph, lues_venerea, lues, -1]
[test] = [field_trial, field_test, alpha_test, beta_test, road_test, 1]
[thaneship] = [berth, spot, position, post, office, -1]
[thanks] = [appreciation, acknowledgment, acknowledgement, thank_you, bow, 1]
[thaumaturge] = [exorcist, enchanter, magus, sorceress, witch_doctor, -1]
[thaumaturgist] = [exorcist, enchanter, magus, sorceress, witch_doctor, -1]
[thaumaturgy] = [white_magic, mojo, juju, conjuration, supernaturalism, 1]
[theologize] = [treat, cover, handle, plow, deal, -1]
[theology] = [theodicy, homiletics, discipline, study, subject, 1]
[theorize] = [reconstruct, retrace, explicate, expect, formulate, 1]
[thiabendazole] = [vermifuge, anthelmintic, anthelminthic, helminthic, antifungal, 1]
[think_about] = [consider, mind, look_at, take, think, 1]
[think_of] = [qualify, bear_in_mind, mind, keep_note, characterize, 1]
[thinkable] = [ponderable, presumable, supposable, surmisable, conceivable, 1]
[thinking] = [reasoning, consideration, logical_thinking, abstract_thought, excogitation, 1]
[thioridazine] = [major_tranquilizer, major_tranquillizer, antipsychotic_drug, antipsychotic_agent, antipsychotic, -1]
[thiothixene] = [major_tranquilizer, major_tranquillizer, antipsychotic_drug, antipsychotic_agent, antipsychotic, -1]
[thorn] = [pain_in_the_ass, pain, pain_in_the_neck, annoyance, bother, -1]
[thought_process] = [reasoning, consideration, logical_thinking, abstract_thought, excogitation, 1]
[thoughtless] = [unthinking, inconsiderate, unreflective, unthoughtful, unconsidered, 1]
[thrall] = [bonded_labor, servitude, serfdom, serfhood, vassalage, 1]
[thrifty] = [saving, economical, scotch, frugal, sparing, 1]
[throughway] = [autobahn, autostrada, turnpike, toll_road, highway, 1]
[throw_in] = [impart, lend, contribute, add, bestow, -1]
[thrust_ahead] = [rush, race, hotfoot, hasten, hie, -1]
[thug] = [criminal, bully, outlaw, malefactor, felon, -1]
[thyrotoxicosis] = [exophthalmic_goiter, glandular_disease, gland_disease, glandular_disorder, adenosis, -1]
[thysanuran_insect] = [insect, bristletail, silverfish, jumping_bristletail, machilid, -1]
[thysanuron] = [insect, bristletail, silverfish, jumping_bristletail, machilid, -1]
[tie_down] = [hold, faggot, fagot, chain_up, faggot_up, 1]
[tiff] = [wrangle, dustup, quarrel, row, words, -1]
[time_interval] = [round, pause, space, lunitidal_interval, break, 1]
[times] = [modern_times, present_times, modern_world, contemporary_world, period, 1]
[tinea] = [fungal_infection, mycosis, kerion, tinea_pedis, athlete's_foot, -1]
[tineoid] = [tineid, tineid_moth, gracilariid, gracilariid_moth, moth, -1]
[tineoid_moth] = [tineid, tineid_moth, gracilariid, gracilariid_moth, moth, -1]
[tingling] = [pins_and_needles, somatic_sensation, somesthesia, somaesthesia, somatesthesia, -1]
[toady] = [apple_polisher, bootlicker, fawner, groveller, groveler, -1]
[toaster] = [friend, champion, supporter, protagonist, admirer, 1]
[toccata] = [musical_composition, opus, composition, piece, piece_of_music, 1]
[tolerable] = [tolerant, resistant, bearable, endurable, sufferable, 1]
[tolerate] = [bear_up, take_lying_down, swallow, live_with, sit_out, -1]
[tomboy] = [girl, miss, missy, young_lady, young_woman, 1]
[tomfool] = [morosoph, simpleton, flibbertigibbet, foolish_woman, simple, 1]
[tone_of_voice] = [manner_of_speaking, undertone, note, roundness, rotundity, -1]
[toothed] = [toothy, cogged, sabertoothed, toothlike, tusked, 1]
[topple] = [fall, keel_over, descend, go_down, come_down, -1]
[torpidity] = [lassitude, hibernation, lethargy, sluggishness, physical_condition, -1]
[torpor] = [lassitude, hibernation, lethargy, sluggishness, physical_condition, -1]
[touch_a_chord] = [arouse, elicit, enkindle, kindle, evoke, 1]
[touch_perception] = [somesthesia, somaesthesia, somatesthesia, somesthesis, somaesthesis, -1]
[tough] = [combatant, battler, belligerent, fighter, scrapper, -1]
[tough_luck] = [hard_cheese, weakness, gutter, adversity, hardship, -1]
[toughened] = [enured, inured, thickened, calloused, callous, 1]
[toughie] = [criminal, bully, outlaw, malefactor, felon, -1]
[tourer] = [rubberneck, sightseer, excursionist, tripper, traveler, -1]
[tourist] = [rubberneck, sightseer, excursionist, tripper, traveler, -1]
[toxaemia] = [preeclampsia, eclampsia, malady, illness, unwellness, -1]
[toxaemia_of_pregnancy] = [preeclampsia, eclampsia, malady, illness, unwellness, -1]
[toxemia] = [preeclampsia, eclampsia, malady, illness, unwellness, -1]
[toxemia_of_pregnancy] = [preeclampsia, eclampsia, malady, illness, unwellness, -1]
[toxic_condition] = [ergotism, paraquat_poisoning, alkali_poisoning, caffeinism, caffeine_intoxication, -1]
[toxic_dumpsite] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, 1]
[toxic_waste_dump] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, 1]
[toxic_waste_site] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, 1]
[toying] = [frolic, gambol, romp, play, caper, 1]
[tractability] = [manageability, manageableness, docility, obedience, amenability, 1]
[tractable] = [tamable, tameable, ductile, malleable, docile, 1]
[tractableness] = [manageability, manageableness, docility, obedience, amenability, 1]
[traditional_knowledge] = [content, old_wives'_tale, folklore, cognitive_content, mental_object, 1]
[traducement] = [malignment, vilification, smear, character_assassination, libel, -1]
[training] = [practice, activity, discipline, athletic_training, drill, 1]
[tramp] = [vagrant, drifter, floater, vagabond, dosser, -1]
[tranquilizer] = [minor_tranquilizer, minor_tranquillizer, antianxiety_drug, anxiolytic, anxiolytic_drug, -1]
[tranquillize] = [lenify, placate, gruntle, pacify, conciliate, 1]
[tranquillizer] = [minor_tranquilizer, minor_tranquillizer, antianxiety_drug, anxiolytic, anxiolytic_drug, -1]
[transformation] = [degeneration, improvement, betterment, sea_change, strengthening, 1]
[transfuse] = [add, contribute, lend, breathe, impart, 1]
[transparentness] = [clearness, clarity, uncloudedness, pellucidity, limpidity, 1]
[trash_heap] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, -1]
[trash_pile] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, -1]
[treated] = [burnt, burned, proofed, doped, activated, -1]
[trematode] = [flatworm, platyhelminth, liver_fluke, schistosome, blood_fluke, 1]
[trematode_worm] = [flatworm, platyhelminth, liver_fluke, schistosome, blood_fluke, 1]
[tremble] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, -1]
[tremolo] = [shakiness, quivering, shaking, vibration, quiver, 1]
[trespass] = [continuing_trespass, trespass_de_bonis_asportatis, trespass_on_the_case, trespass_quare_clausum_fregit, trespass_viet_armis, -1]
[trial_run] = [field_trial, field_test, alpha_test, beta_test, road_test, 1]
[triangle] = [acute_triangle, wedge_shape, cuneus, wedge, oblique_triangle, 1]
[trim_back] = [inflate, thin, downsize, subtract, knock_off, 1]
[trim_down] = [inflate, thin, downsize, subtract, knock_off, 1]
[trip_up] = [learn, hear, get_word, get_wind, pick_up, -1]
[trisomy_21] = [trisomy, birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, -1]
[trouble_maker] = [disturber, provoker, inciter, instigant, hellhound, -1]
[troubled] = [disquieted, worried, upset, unquiet, distressed, -1]
[troublemaker] = [disturber, provoker, inciter, instigant, hellhound, -1]
[troubler] = [disturber, provoker, inciter, instigant, hellhound, -1]
[troubleshoot] = [fix, bushel, doctor, furbish_up, repair, -1]
[troublesomeness] = [difficulty, awkwardness, flea_bite, difficultness, cumbersomeness, -1]
[trounce] = [flagellate, leather, birch, beat, scourge, 1]
[truck] = [camion, rig, wrecker, dump_truck, dumper, 1]
[truism] = [truth, platitude, cliche, banality, commonplace, 1]
[trunk_hose] = [breeches, knee_breeches, knee_pants, knickerbockers, knickers, -1]
[truthfulness] = [sooth, sincerity, honestness, honesty, veracity, 1]
[try_on] = [don, put_on, wear, assume, get_into, 1]
[try_out] = [verify, control, float, evaluate, pass_judgment, 1]
[tryout] = [field_trial, field_test, alpha_test, beta_test, road_test, 1]
[tsatske] = [miss, girl, missy, young_lady, young_woman, -1]
[tshatshke] = [miss, girl, missy, young_lady, young_woman, -1]
[tubular_cavity] = [throat, pharynx, cavity, bodily_cavity, cavum, 1]
[tucker_out] = [wear_upon, tire_out, outwear, fag_out, weary, 1]
[tulle] = [net, network, mesh, meshing, meshwork, 1]
[tumble] = [flip, acrobatic_stunt, acrobatic_feat, somersault, somerset, -1]
[tumesce] = [bloat, blister, vesicate, belly, belly_out, -1]
[tumultuousness] = [hurly_burly, kerfuffle, commotion, disruption, disturbance, -1]
[tune_up] = [tweak, correct, adjust, set, service, 1]
[turbine] = [gas_turbine, hydroelectric_turbine, impulse_turbine, reaction_turbine, steam_turbine, -1]
[turd] = [stool, dejection, fecal_matter, faecal_matter, feces, -1]
[turn_a_blind_eye] = [disregard, ignore, brush_off, push_aside, dismiss, -1]
[turn_a_profit] = [clear, make, realize, gain, take_in, 1]
[turn_up_the_heat] = [coerce, hale, pressure, force, squeeze, 1]
[turn_up_the_pressure] = [coerce, hale, pressure, force, squeeze, 1]
[turned] = [upset, inverted, overturned, upturned, reversed, -1]
[turning_away] = [rejection, escape, near_thing, aversion, averting, 1]
[twat] = [sap, fool, saphead, muggins, tomfool, -1]
[twilight_zone] = [ocean_floor, sea_floor, ocean_bottom, seabed, sea_bottom, 1]
[twitch] = [muscle_spasm, spasm, cramp, tic, blepharism, -1]
[twitching] = [muscle_spasm, spasm, cramp, tic, blepharism, -1]
[typewriter_font] = [face, font, fount, typeface, case, -1]
[typhus] = [murine_typhus, rat_typhus, urban_typhus, endemic_typhus, rickettsial_disease, 1]
[typhus_fever] = [murine_typhus, rat_typhus, urban_typhus, endemic_typhus, rickettsial_disease, 1]
[ugliness] = [unsightliness, eyesore, hideousness, unattractiveness, garishness, -1]
[ugly_duckling] = [mortal, person, individual, someone, somebody, 1]
[unaccessible] = [outback, trackless, pathless, roadless, untracked, 1]
[unaccompanied] = [isolated, lonely, unattended, solitary, alone, -1]
[unacknowledged] = [unsung, unrecognized, unappreciated, unvalued, unconfessed, -1]
[unadaptability] = [inflexibility, rigidity, rigidness, unfitness, inability, -1]
[unadorned] = [spare, unembellished, unornamented, bare, plain, -1]
[unaffected] = [unimpressed, untouched, uninfluenced, unswayed, immune, -1]
[unalienable] = [infrangible, nontransferable, unassignable, untransferable, inviolable, -1]
[unambiguity] = [lucidness, clarity, clearness, lucidity, pellucidity, 1]
[unarmed] = [defenseless, defenceless, barehanded, clean, weaponless, -1]
[unarticulate] = [aphasic, aphonic, speechless, unarticulated, dumb, -1]
[unavailable] = [unobtainable, unprocurable, out_of_stock, gone, untouchable, -1]
[unbelievable] = [improbable, undreamed, undreamed_of, undreamt, undreamt_of, -1]
[unblemished] = [stainless, untainted, untarnished, unsullied, unstained, 1]
[unchangeable] = [unalterable, static, changeless, confirmed, fixed, -1]
[unclean] = [draggled, befouled, filthy, nasty, scummy, -1]
[uncleanness] = [feculence, befoulment, defilement, dinginess, dinge, 1]
[unclearness] = [elusiveness, inexplicitness, ambiguity, equivocalness, vagueness, -1]
[uncloudedness] = [quality, transparentness, distinctness, transparency, transparence, 1]
[uncommunicative] = [incommunicado, unpronounceable, impassive, inexpressive, silent, -1]
[uncommunicativeness] = [secretiveness, trait, secrecy, reserve, silence, 1]
[uncomparable] = [matchless, nonpareil, one_and_only, peerless, unmatchable, 1]
[uncomplete] = [sketchy, unelaborated, partial, uncompleted, broken, 1]
[uncomprehensible] = [dark, impenetrable, lost, missed, unfathomable, -1]
[unconnected] = [asternal, isolated, separate, unattached, separated, -1]
[unconquerable] = [insurmountable, insuperable, inexpugnable, indomitable, unsubduable, -1]
[unconscious_process] = [defense, sleep_talking, somniloquy, somniloquism, condensation, -1]
[unconstipated] = [lax, loose, diarrheal, diarrhoeal, diarrhetic, -1]
[uncontrolled] = [undisciplined, anarchic, anarchical, irrepressible, uncontrollable, -1]
[uncontroversial] = [unchallengeable, undisputed, unchallenged, unquestioned, agreed_upon, -1]
[undecorated] = [spare, unembellished, unornamented, bare, plain, -1]
[undefeated] = [victorious, triumphant, unbowed, unbeaten, unconquered, 1]
[undemocratic] = [totalitarian, authoritarian, dictatorial, despotic, monarchal, -1]
[undeniable] = [irrefutable, incontestable, incontrovertible, indisputable, undisputable, -1]
[undependability] = [irresponsibility, irresponsibleness, instability, irreproducibility, fallibility, -1]
[undependableness] = [irresponsibility, irresponsibleness, instability, irreproducibility, fallibility, -1]
[underclassman] = [junior, undergraduate, undergrad, freshman, fresher, -1]
[underdress] = [raiment, garb, dress, clothe, enclothe, -1]
[undergrad] = [lowerclassman, underclassman, senior, college_girl, collegian, -1]
[undergraduate] = [lowerclassman, underclassman, senior, college_girl, collegian, -1]
[underpants] = [scanty, unmentionable, bikini_pants, bloomers, pants, -1]
[underseller] = [seller, marketer, vender, vendor, trafficker, -1]
[underside] = [face, base, underbelly, sole, bilge, -1]
[understood] = [appreciated, apprehended, comprehended, interpreted, taken, 1]
[undersurface] = [face, base, underbelly, sole, bilge, -1]
[undignified] = [mortifying, demeaning, humbling, humiliating, pathetic, -1]
[undiscipline] = [indulgence, incontinence, trait, dissoluteness, unrestraint, -1]
[undiversified] = [undistributed, monolithic, unanimous, whole, solid, -1]
[undo] = [unlace, unfold, untie, unbrace, spread, 1]
[unemotional] = [phlegmatic, phlegmatical, unblinking, stoic, chilly, 1]
[unendurable] = [unsupportable, unacceptable, bitter, impossible, insufferable, -1]
[unenergetic] = [foggy, groggy, logy, stuporous, dazed, -1]
[unequal] = [unequalized, mismatched, nonequivalent, uneven, unbalanced, -1]
[unequivocalness] = [lucidness, clarity, clearness, lucidity, pellucidity, 1]
[unerect] = [drooping, crooked, weeping, prone, supine, -1]
[unessential] = [nonessential, accidental, incidental, accessorial, adscititious, -1]
[unevenness] = [jaggedness, unregularity, ruggedness, irregularity, patchiness, -1]
[unexchangeability] = [incommutability, irreplaceableness, changelessness, unchangeability, unchangeableness, -1]
[unexhausted] = [odd, left, unspent, unexpended, leftover, 1]
[unfaithful] = [untrue, apostate, treacherous, perfidious, punic, -1]
[unfaithfulness] = [quality, disloyalty, inconstancy, falseness, faithlessness, 1]
[unfamiliar] = [unacquainted_with, unfamiliar_with, unknown, unacquainted, strange, -1]
[unfamiliarity] = [freakishness, quaintness, abnormality, queerness, crotchet, -1]
[unfashionable] = [out, dated, stodgy, prehistoric, antique, -1]
[unfastened] = [unbarred, unbolted, unlatched, unlocked, unsecured, -1]
[unfavorable] = [inauspicious, admonishing, reproachful, reproving, untoward, -1]
[unfavorable_judgment] = [reprimand, static, stricture, disapproval, faultfinding, -1]
[unfavourable] = [inauspicious, admonishing, reproachful, reproving, untoward, -1]
[unfinished] = [unhewn, unfattened, undressed, roughhewn, raw, -1]
[unfitness] = [disability, disablement, ill_health, unhealthiness, health_problem, -1]
[unfixed] = [unfirm, unsteady, detached, free, floating, -1]
[unformed] = [formless, amorphous, shapeless, unshaped, unshapen, -1]
[unfortunate] = [unsuccessful_person, loser, abandoned_person, desperate, jonah, -1]
[unfortunate_person] = [unsuccessful_person, loser, abandoned_person, desperate, jonah, -1]
[unfruitful] = [childless, unsuccessful, acarpous, abortive, stillborn, -1]
[unharmonious] = [discordant, dissonant, unresolved, false, disharmonious, -1]
[unhealthfulness] = [unwholesomeness, morbidness, morbidity, insalubrity, insalubriousness, -1]
[unhealthiness] = [invalidism, injury, affliction, biliousness, harm, -1]
[unhearable] = [silent, voiceless, unsounded, breathed, supersonic, -1]
[unhinge] = [upset, trouble, worry, disturb, vex, -1]
[unhurried] = [leisurely, easygoing, deliberate, easy, careful, -1]
[unhurriedness] = [dilatoriness, leisureliness, procrastination, rate, pace, -1]
[unidentifiable] = [unclassifiable, unrecognizable, unrecognisable, intangible, undiagnosable, -1]
[uniformness] = [homogeneity, homogeneousness, consistency, consistence, similarity, -1]
[unilateralism] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, -1]
[unimportant] = [potty, inconsequent, inconsequential, trivial, lightweight, 1]
[uninformed] = [naive, unenlightened, unread, unknowing, innocent, 1]
[uninhabited] = [untenanted, unoccupied, derelict, deserted, depopulated, -1]
[uninjured] = [uncut, unharmed, unscathed, unwounded, unhurt, -1]
[unintelligibility] = [nonsense, meaninglessness, word_salad, bunk, nonsensicality, 1]
[unintended] = [unwitting, unplanned, unintentional, accidental, inadvertent, -1]
