[fragrancy] = [scent, aroma, olfactory_property, smell, odor, 1]
[law_of_nature] = [law_of_effect, principle, rule, law_of_diminishing_returns, distribution_law, 1]
[laxation] = [shit, bowel_movement, movement, dump, bm, -1]
[laxative] = [purgative, cathartic, physic, aperient, phenolphthalein, -1]
[lay_on_the_line] = [hazard, stake, jeopardize, essay, assay, -1]
[lead_astray] = [misdirect, deprave, vitiate, profane, demoralize, -1]
[lead_off] = [pervert, debauch, corrupt, subvert, debase, 1]
[leaf_blight] = [needle_blight, needle_cast, leaf_cast, blight, fire_blight, -1]
[leafy] = [petallike, bowery, foliolate, unifoliate, bifoliate, -1]
[leaky] = [drafty, draughty, porous, drippy, oozing, -1]
[leanness] = [insufficiency, sparseness, sparsity, abstemiousness, spareness, -1]
[learned_profession] = [practice_of_law, medicine, theology, profession, law, 1]
[learning] = [education, internalization, incorporation, study, conditioning, 1]
[learning_disability] = [dyslexia, dyscalculia, dysgraphia, disorder, upset, 1]
[learning_disorder] = [dyslexia, dyscalculia, dysgraphia, disorder, upset, 1]
[least_effort] = [sweat, effort, elbow_grease, exertion, travail, -1]
[least_resistance] = [sweat, effort, elbow_grease, exertion, travail, -1]
[leech] = [medicinal_leech, horseleech, annelid, annelid_worm, segmented_worm, -1]
[legal_action] = [antitrust_case, civil_action, counterclaim, custody_case, lis_pendens, 1]
[legendary_creature] = [mythical_monster, mythical_creature, abominable_snowman, yeti, doppelganger, 1]
[legitimate] = [countenance, monetize, permit, allow, let, 1]
[leisure_wear] = [wear, wearable, clothing, article_of_clothing, vesture, -1]
[lenify] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[leprechaun] = [imp, elf, hob, gremlin, pixie, -1]
[leresis] = [garrulity, garrulousness, loquaciousness, loquacity, talkativeness, 1]
[let_loose] = [squeal, blate, churr, honk, sibilate, 1]
[let_out] = [squeal, blate, churr, honk, sibilate, 1]
[lethargic] = [foggy, groggy, logy, stuporous, dazed, -1]
[leucaemia] = [monocytic_leukemia, monocytic_leukaemia, monoblastic_leukemia, monoblastic_leukaemia, histiocytic_leukemia, -1]
[leukaemia] = [monocytic_leukemia, monocytic_leukaemia, monoblastic_leukemia, monoblastic_leukaemia, histiocytic_leukemia, -1]
[leukemia] = [monocytic_leukemia, monocytic_leukaemia, monoblastic_leukemia, monoblastic_leukaemia, histiocytic_leukemia, -1]
[lever] = [bar, treadle, pry, key, peavey, -1]
[lgv] = [venereal_disease, venereal_infection, social_disease, sexually_transmitted_disease, dose, -1]
[liability] = [ratability, susceptibility, susceptibleness, taxability, rateability, 1]
[libertarian] = [economic_libertarian, civil_libertarian, advocate, advocator, proponent, 1]
[license] = [instrument, building_permit, driver's_license, driver's_licence, driving_license, 1]
[lichen] = [lichen_planus, lichen_ruber_planus, skin_disease, disease_of_the_skin, skin_disorder, -1]
[licking] = [debacle, lurch, whitewash, finish, failure, -1]
[lie_with] = [have, pair, take, couple, fornicate, 1]
[light_reflex] = [reflex, reflex_response, reflex_action, instinctive_reflex, innate_reflex, -1]
[lighted] = [ablaze, aflame, afire, aflare, alight, 1]
[likeness] = [resemblance, comparison, equivalence, reflection, spitting_image, -1]
[limen] = [sensation, esthesis, aesthesis, sense_experience, sense_impression, 1]
[limitation] = [narrowness, rule, quantification, regulation, restraint, 1]
[limpidity] = [clearcutness, explicitness, preciseness, perspicuity, perspicuousness, 1]
[line_of_destiny] = [crease, crinkle, wrinkle, furrow, seam, 1]
[line_of_fate] = [crease, crinkle, wrinkle, furrow, seam, 1]
[line_of_heart] = [crease, crinkle, wrinkle, furrow, seam, 1]
[line_of_reasoning] = [reasoning, logical_thinking, abstract_thought, casuistry, line_of_inquiry, 1]
[line_of_saturn] = [crease, crinkle, wrinkle, furrow, seam, 1]
[lining] = [refractory, protective_cover, protective_covering, protection, brake_lining, -1]
[lip_service] = [pretense, feigning, dissembling, pretence, crocodile_tears, 1]
[liqueur] = [anisette, maraschino, ratafia, pastis, ratafee, 1]
[literacy] = [acquirement, skill, accomplishment, acquisition, attainment, 1]
[literalism] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, -1]
[literary_criticism] = [critique, review, explication_de_texte, textual_criticism, new_criticism, 1]
[literary_genre] = [poetry, verse, drama, prose, form, -1]
[little_girl] = [farm_girl, flower_girl, moppet, schoolgirl, female, 1]
[little_terror] = [rascal, rapscallion, scalawag, scallywag, monkey, -1]
[live_wire] = [goffer, gopher, actor, doer, worker, 1]
[live_with] = [endure, brook, tolerate, stomach, abide, -1]
[lively] = [bouncing, scintillating, spirited, peppy, zippy, 1]
[liven] = [spirit, spirit_up, inspirit, energize, jazz_up, 1]
[liven_up] = [spirit, spirit_up, inspirit, energize, jazz_up, 1]
[liver_disease] = [disease, fatty_liver, hepatitis, liver_cancer, cancer_of_the_liver, 1]
[living_wage] = [pay, wage, earnings, remuneration, salary, -1]
[llama] = [guanaco, domestic_llama, alpaca, artiodactyl, artiodactyl_mammal, -1]
[lockup] = [jail, jailhouse, gaol, poky, clink, 1]
[locust_tree] = [courbaril, water_locust, swamp_locust, honey_locust, black_locust, -1]
[lode] = [mother_lode, champion_lode, deposit, sedimentation, alluviation, 1]
[log_z's] = [catnap, sleep_late, sleep_in, rest, practice_bundling, -1]
[loggerhead] = [stupid, stupid_person, stupe, dullard, dolt, -1]
[logical_argument] = [reasoning, logical_thinking, abstract_thought, casuistry, line_of_inquiry, 1]
[logical_fallacy] = [petitio_principii, petitio, hysteron_proteron, fallacy, false_belief, 1]
[logical_system] = [system_of_rules, symbolic_logic, mathematical_logic, formal_logic, system, 1]
[logical_thinking] = [ratiocination, logical_argument, line_of_reasoning, thinking, thought, 1]
[logicality] = [rationality, quality, rationalness, completeness, consistency, 1]
[logicalness] = [rationality, quality, rationalness, completeness, consistency, 1]
[logjam] = [check, arrest, hitch, halt, stay, 1]
[long_suit] = [strong_suit, collection, aggregation, accumulation, assemblage, 1]
[longhand] = [copperplate, hand, minuscule, italic, round_hand, -1]
[look_at] = [think_about, play, trifle, abstract, warm_to, 1]
[look_into] = [probe, study, research, search, explore, 1]
[looker] = [cheerer, gawker, percipient, rubberneck, starer, 1]
[looking] = [view, peek, stare, lookout, sight, 1]
[looking_at] = [view, peek, stare, lookout, sight, 1]
[loony_bin] = [asylum, mental_hospital, psychiatric_hospital, mental_institution, mental_home, -1]
[lore] = [content, old_wives'_tale, folklore, cognitive_content, mental_object, 1]
[lose_it] = [behave, dissolve, die, fall_apart, go_to_pieces, 1]
[lost_cause] = [movement, cause, campaign, crusade, drive, -1]
[loungewear] = [wear, lounging_pajama, lounging_pyjama, wearable, lounger, -1]
[lousiness] = [pediculosis_capitis, head_lice, pediculosis_corporis, pediculosis_pubis, crabs, -1]
[lovable] = [cherubic, lovely, adorable, endearing, angelic, 1]
[love_line] = [crease, crinkle, wrinkle, furrow, seam, 1]
[loveable] = [cherubic, lovely, adorable, endearing, angelic, 1]
[lovebird] = [parakeet, parrakeet, parroket, paraquet, paroquet, 1]
[loved] = [preferred, wanted, admired, darling, precious, 1]
[low_blow] = [abuse, vilification, insult, revilement, contumely, -1]
[low_status] = [inferiority, lower_status, lower_rank, status, position, -1]
[low_temperature] = [pressor, chill, frostiness, cool, gelidity, -1]
[lowball] = [gauge, guess, approximate, estimate, judge, 1]
[lower_limit] = [small_indefinite_quantity, small_indefinite_amount, peak, skeleton, extremum, -1]
[lower_rank] = [low_status, lowness, backseat, lowliness, subordinateness, -1]
[lower_status] = [low_status, lowness, backseat, lowliness, subordinateness, -1]
[lowerclassman] = [junior, undergraduate, undergrad, freshman, fresher, -1]
[loxapine] = [major_tranquilizer, major_tranquillizer, antipsychotic_drug, antipsychotic_agent, antipsychotic, -1]
[loxitane] = [major_tranquilizer, major_tranquillizer, antipsychotic_drug, antipsychotic_agent, antipsychotic, -1]
[lubricity] = [amorousness, sexiness, amativeness, eroticism, erotism, 1]
[lucidity] = [clearcutness, explicitness, preciseness, perspicuity, perspicuousness, 1]
[lucidness] = [clearcutness, explicitness, preciseness, perspicuity, perspicuousness, 1]
[luck_out] = [deliver_the_goods, succeed, win, bring_home_the_bacon, come_through, 1]
[luckiness] = [successfulness, boon, prosperity, circumstances, blessing, 1]
[luminance] = [glow, illumination, incandescence, luminescence, illuminance, 1]
[luminescence] = [chemiluminescence, light, bioluminescence, visible_light, visible_radiation, -1]
[luminosity] = [glow, illumination, incandescence, luminescence, illuminance, 1]
[luminous_intensity_unit] = [cd, international_candle, candle, candela, standard_candle, -1]
[luminousness] = [glow, illumination, incandescence, luminescence, illuminance, 1]
[lump] = [clot, coagulum, gob, clew, agglomeration, -1]
[lunatic] = [weirdo, crazy, loony, looney, nutcase, -1]
[lunkhead] = [stupid, stupid_person, stupe, dullard, dolt, -1]
[lusus_naturae] = [mutant, variation, sport, leviathan, mutation, -1]
[lymphocytic_leukemia] = [leukemia, leukaemia, leucaemia, cancer_of_the_blood, lymphoblastic_leukemia, -1]
[lymphogranuloma_venereum] = [venereal_disease, venereal_infection, social_disease, sexually_transmitted_disease, dose, -1]
[lymphopathia_venereum] = [venereal_disease, venereal_infection, social_disease, sexually_transmitted_disease, dose, -1]
[lypressin] = [pressor, antidiuretic, antidiuretic_drug, vasoconstrictor, vasoconstrictive, -1]
[macaroni] = [gallant, dandy, swell, dude, fop, -1]
[macroglossia] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, -1]
[macule] = [liver_spot, spot, freckle, lentigo, plague_spot, -1]
[macushla] = [darling, pet, favorite, favourite, dearie, 1]
[madhouse] = [asylum, mental_hospital, psychiatric_hospital, mental_institution, mental_home, -1]
[magnetic_attraction] = [electromagnetism, antiferromagnetism, diamagnetism, ferromagnetism, paramagnetism, -1]
[magnetic_force] = [electromagnetism, antiferromagnetism, diamagnetism, ferromagnetism, paramagnetism, -1]
[magnificence] = [excellence, stateliness, loftiness, expansivity, expansiveness, 1]
[maid] = [handmaid, handmaiden, chambermaid, lady's_maid, parlormaid, -1]
[maiden] = [miss, girl, damsel, demoiselle, damoiselle, -1]
[maidenhair] = [common_maidenhair, southern_maidenhair, brittle_maidenhair, brittle_maidenhair_fern, fern, 1]
[maidenhair_fern] = [common_maidenhair, southern_maidenhair, brittle_maidenhair, brittle_maidenhair_fern, fern, 1]
[maimer] = [mortal, person, individual, someone, somebody, -1]
[mainstay] = [champion, friend, supporter, protagonist, admirer, -1]
[major_affective_disorder] = [manic_disorder, bipolar_disorder, manic_depression, manic_depressive_illness, depression, -1]
[major_depressive_episode] = [unipolar_depression, depression, depressive_disorder, clinical_depression, involutional_depression, -1]
[major_tranquilizer] = [clozapine, haloperidol, loxapine, thiothixene, tranquilizer, 1]
[major_tranquillizer] = [clozapine, haloperidol, loxapine, thiothixene, tranquilizer, 1]
[make_clean] = [scavenge, vacuum, preen, modify, dust, -1]
[make_headway] = [tally, steal, score, hit, rack_up, 1]
[maladroit] = [bungling, bumbling, butterfingered, inept, handless, -1]
[male_child] = [altar_boy, cub, ball_boy, bat_boy, lad, 1]
[maledict] = [call_down, stir, call_forth, conjure, bring_up, -1]
[malefactor] = [toughie, accessory, highbinder, hoodlum, thug, -1]
[maleficent] = [baneful, evil, baleful, malevolent, malign, -1]
[malevolency] = [cattiness, bitchiness, spitefulness, cruelness, evil, -1]
[malevolent_program] = [trojan, trojan_horse, virus, worm, computer_virus, -1]
[malformation] = [affliction, pigeon_breast, chicken_breast, clubfoot, talipes, -1]
[malfunctioning] = [wrong, haywire, bad, out_of_whack, amiss, -1]
[malicious] = [vixenish, venomous, bitchy, catty, cattish, -1]
[malicious_mischief] = [devilment, roguery, mischief, shenanigan, deviltry, -1]
[malignant_neoplastic_disease] = [leukemia, leukaemia, leucaemia, cancer_of_the_blood, lymphoma, -1]
[malignment] = [calumniation, traducement, hatchet_job, defamation, calumny, -1]
[mallee] = [white_mallee, congoo_mallee, black_mallee, black_sally, black_gum, -1]
[mallow] = [bush, musk_mallow, mus_rose, common_mallow, tall_mallow, -1]
[malnourished] = [unfed, underfed, undernourished, starved, starving, -1]
[malnutrition] = [kwashiorkor, marasmus, avitaminosis, hypovitaminosis, deficiency_disease, -1]
[malodor] = [niff, pong, smell, odor, olfactory_sensation, -1]
[malodorous] = [frowsty, fetid, foetid, smelly, stinking, -1]
[malodorousness] = [body_odor, aroma, scent, olfactory_property, smell, -1]
[malodourous] = [frowsty, fetid, foetid, smelly, stinking, -1]
[maltreatment] = [inhuman_treatment, cruelty, child_neglect, mistreatment, child_abuse, -1]
[manage] = [deliver_the_goods, succeed, win, bring_home_the_bacon, come_through, 1]
[manageable] = [administrable, controllable, governable, steerable, dirigible, 1]
[mangler] = [mortal, person, individual, someone, somebody, -1]
[mania] = [logorrhea, logomania, agromania, pyromania, necrophilia, -1]
[maniac] = [weirdo, crazy, loony, looney, nutcase, -1]
[manic_depression] = [affective_disorder, major_affective_disorder, emotional_disorder, emotional_disturbance, cyclothymia, -1]
[manic_depressive_illness] = [affective_disorder, major_affective_disorder, emotional_disorder, emotional_disturbance, cyclothymia, -1]
[manic_disorder] = [affective_disorder, major_affective_disorder, emotional_disorder, emotional_disturbance, hysteria, -1]
[manipulable] = [tamable, tameable, ductile, malleable, docile, 1]
[manner_of_speaking] = [tone_of_voice, tone, catch, address, tongue, -1]
[manus] = [hooks, meat_hooks, maulers, right, left, 1]
[maraud] = [penetration, air_raid, air_attack, swoop, incursion, -1]
[marble_bones_disease] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[marcel] = [coif, coiffure, hairdo, hairstyle, hair_style, -1]
[marital_status] = [widowhood, marriage, matrimony, union, spousal_relationship, -1]
[marksman] = [rifleman, deadeye, sniper, shot, shooter, 1]
[marksmanship] = [acquirement, skill, accomplishment, acquisition, attainment, 1]
[marriage_of_convenience] = [marriage, matrimony, union, spousal_relationship, wedlock, 1]
[marshal] = [air_marshal, sky_marshal, lawman, law_officer, peace_officer, 1]
[marshalship] = [spot, berth, position, post, office, 1]
[mass_murder] = [murder, slaying, bloodbath, bloodshed, bloodletting, -1]
[massacre] = [murder, slaying, bloodbath, bloodshed, bloodletting, -1]
[massage_parlor] = [whorehouse, brothel, bordello, bagnio, house_of_prostitution, 1]
[mastermind] = [founder, beginner, founding_father, father, pioneer, 1]
[mastigophoran] = [costia, zoomastigote, zooflagellate, dinoflagellate, hypermastigote, 1]
[mastigophore] = [costia, zoomastigote, zooflagellate, dinoflagellate, hypermastigote, 1]
[masturbation] = [wank, frottage, jacking_off, jerking_off, hand_job, 1]
[materialize] = [pass_off, fall_out, come_out, occur, appear, -1]
[matter_to] = [fascinate, intrigue, bear_on, touch, concern, 1]
[maturate] = [find, ripen, find_oneself, grow_up, develop, 1]
[maxim] = [moralism, gnome, aphorism, apothegm, apophthegm, 1]
[mcardle's_disease] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[meadow_grass] = [foxtail, foxtail_grass, manna_grass, sweet_grass, wood_meadowgrass, -1]
[meadowgrass] = [foxtail, foxtail_grass, manna_grass, sweet_grass, wood_meadowgrass, -1]
[meager] = [miserable, scanty, exiguous, spare, hardscrabble, -1]
[meagerly] = [miserable, scanty, exiguous, spare, hardscrabble, -1]
[meagerness] = [insufficiency, sparseness, sparsity, abstemiousness, spareness, -1]
[meagre] = [miserable, scanty, exiguous, spare, hardscrabble, -1]
[meagreness] = [insufficiency, sparseness, sparsity, abstemiousness, spareness, -1]
[meaningful] = [significant, meaning, purposeful, substantive, pregnant, 1]
[meaningless] = [insignificant, mindless, empty, nonsense, vacuous, -1]
[meaninglessness] = [balderdash, piffle, content, empty_words, empty_talk, 1]
[meddler] = [buttinsky, unwelcome_person, persona_non_grata, backseat_driver, busybody, -1]
[medical_aid] = [disinfection, treatment, hospice, digitalization, bloodletting, -1]
[medical_diagnosis] = [prospect, diagnosis, diagnosing, medical_prognosis, prognosis, 1]
[medical_science] = [pathology, medicine, medical_specialty, radiology, serology, 1]
[medical_scientist] = [toxicologist, epidemiologist, immunologist, serologist, scientist, 1]
[medicament] = [curative, vermifuge, anthelmintic, anthelminthic, helminthic, 1]
[medicinal_drug] = [curative, vermifuge, anthelmintic, anthelminthic, helminthic, 1]
[megahit] = [smash, bang, smasher, strike, hit, 1]
[melaena] = [stool, dejection, fecal_matter, faecal_matter, feces, -1]
[melena] = [stool, dejection, fecal_matter, faecal_matter, feces, -1]
[meliorate] = [assuage, perfect, fructify, relieve, sublimate, 1]
[meliorist] = [dry, insurgent, militant, passive_resister, demonstrator, -1]
[mellaril] = [major_tranquilizer, major_tranquillizer, antipsychotic_drug, antipsychotic_agent, antipsychotic, -1]
[melodic] = [mellifluous, mellisonant, dulcet, lyrical, honeyed, 1]
[melodic_theme] = [tune, melody, variation, air, strain, 1]
[melody] = [music, flourish, melodic_theme, musical_theme, signature, 1]
[memory_image] = [memory_picture, afterimage, aftersensation, image, mental_image, -1]
[meningitis] = [leptomeningitis, cerebrospinal_meningitis, epidemic_meningitis, brain_fever, cerebrospinal_fever, -1]
[mensal_line] = [crease, crinkle, wrinkle, furrow, seam, 1]
[mental_case] = [sick_person, diseased_person, sufferer, claustrophobe, hysteric, -1]
[mental_defectiveness] = [feeblemindedness, slowness, mental_retardation, backwardness, subnormality, -1]
[mental_deficiency] = [slowness, mental_retardation, backwardness, subnormality, retardation, -1]
[mental_disturbance] = [encopresis, upset, psychosomatic_disorder, conversion_disorder, conversion_reaction, -1]
[mental_faculty] = [understanding, intellect, ability, retentiveness, retentivity, 1]
[mental_home] = [snake_pit, booby_hatch, crazy_house, cuckoo's_nest, funny_farm, -1]
[mental_hospital] = [snake_pit, booby_hatch, crazy_house, cuckoo's_nest, funny_farm, -1]
[mental_institution] = [snake_pit, booby_hatch, crazy_house, cuckoo's_nest, funny_farm, -1]
[mental_rejection] = [doubt, incertitude, dubiety, doubtfulness, dubiousness, 1]
[mental_retardation] = [moronity, mental_deficiency, imbecility, stupidity, mental_defectiveness, -1]
[mental_strain] = [nervousness, tenseness, tension, nerves, stress, -1]
[mentation] = [reasoning, consideration, logical_thinking, abstract_thought, excogitation, 1]
[mepacrine] = [antimalarial, antimalarial_drug, vermifuge, anthelmintic, anthelminthic, -1]
[meprin] = [minor_tranquilizer, minor_tranquillizer, antianxiety_drug, anxiolytic, anxiolytic_drug, -1]
[meprobamate] = [minor_tranquilizer, minor_tranquillizer, antianxiety_drug, anxiolytic, anxiolytic_drug, -1]
[merciless] = [mortal, cutthroat, bowelless, tigerish, pitiless, 1]
[meromelia] = [adactylia, adactyly, adactylism, phocomelia, seal_limbs, -1]
[merrymaking] = [jinks, high_jinks, hijinks, high_jinx, revel, -1]
[meshugaas] = [folly, lunacy, craziness, indulgence, foolery, 1]
[messiahship] = [berth, spot, position, post, office, -1]
[metabolic_disorder] = [alkaptonuria, alcaptonuria, disorder, lipidosis, hypolipoproteinemia, 1]
[metabolism] = [heterometabolism, heterometaboly, holometabolism, holometaboly, hemimetamorphosis, 1]
[metacyesis] = [abdominal_pregnancy, ovarian_pregnancy, tubal_pregnancy, pregnancy, gestation, -1]
[metamorphosis] = [heterometabolism, heterometaboly, holometabolism, holometaboly, hemimetamorphosis, 1]
[methotrexate] = [antimetabolite, immunosuppressant, immunosuppressor, immunosuppressive_drug, immunosuppressive, -1]
[methotrexate_sodium] = [antimetabolite, immunosuppressant, immunosuppressor, immunosuppressive_drug, immunosuppressive, -1]
[methyl] = [aminomethane, hydroxymethyl, alkyl, alkyl_group, alkyl_radical, -1]
[methyl_group] = [aminomethane, hydroxymethyl, alkyl, alkyl_group, alkyl_radical, -1]
[methyl_radical] = [aminomethane, hydroxymethyl, alkyl, alkyl_group, alkyl_radical, -1]
[midden] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, -1]
[middlebrow] = [mortal, person, individual, someone, somebody, 1]
[mien] = [dignity, gravitas, lordliness, personal_manner, manner, 1]
[military_reserve] = [military, armed_forces, armed_services, military_machine, war_machine, -1]
[military_uniform] = [uniform, battle_dress, dress_uniform, fatigues, khakis, -1]
[militia] = [force, trainband, military_unit, military_force, military_group, -1]
[milk_intolerance] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[milk_vetch] = [wild_licorice, wild_liquorice, alpine_milk_vetch, purple_milk_vetch, woody_plant, -1]
[milkwort] = [subshrub, suffrutex, senega, orange_milkwort, yellow_milkwort, -1]
[miltown] = [minor_tranquilizer, minor_tranquillizer, antianxiety_drug, anxiolytic, anxiolytic_drug, -1]
[mindful] = [careful, heedful, resonant, evocative, redolent, 1]
[mineral] = [quartz, cerussite, white_lead_ore, cobaltite, molybdenite, 1]
[minimum] = [small_indefinite_quantity, small_indefinite_amount, peak, skeleton, extremum, -1]
[ministration] = [solace, assist, help, assistance, mercy, 1]
[minor_surgery] = [operation, surgery, surgical_operation, surgical_procedure, surgical_process, -1]
[minor_tranquilizer] = [flurazepam, flurazepam_hydrochloride, tranquilizer, tranquillizer, antianxiety_agent, -1]
[minor_tranquillizer] = [flurazepam, flurazepam_hydrochloride, tranquilizer, tranquillizer, antianxiety_agent, -1]
[mirror] = [cheval_glass, car_mirror, hand_glass, hand_mirror, looking_glass, 1]
[misadventure] = [accident, misfortune, bad_luck, near_miss, derailment, -1]
[misalliance] = [mesalliance, marriage, matrimony, union, spousal_relationship, -1]
[misappropriation] = [raid, thieving, plunderage, larceny, theft, -1]
[miscalculation] = [error, fault, backfire, mistake, boomerang, -1]
[miscarry] = [bodge, botch_up, flub, ball_up, bollix, -1]
[misconception] = [erroneous_belief, error, misunderstanding, hallucination, fancy, -1]
[miscount] = [count, numeration, tally, counting, enumeration, -1]
[miscreant] = [scapegrace, black_sheep, degenerate, wretch, pervert, -1]
[misdeed] = [devilment, roguery, mischief, shenanigan, indecency, -1]
[misdemean] = [act_up, move, fall_from_grace, carry_on, act, -1]
[misdirect] = [suborn, modify, poison, lead_astray, alter, -1]
[miserliness] = [closeness, parsimony, parsimoniousness, meanness, minginess, 1]
[misestimation] = [error, fault, backfire, mistake, boomerang, -1]
[misfit] = [addlehead, birdbrain, ape, loon, mortal, -1]
[misfortune] = [pity, shame, mishap, mischance, misadventure, -1]
[misgauge] = [approximate, guess, gauge, estimate, judge, -1]
[misgovernment] = [governing, administration, government, governance, government_activity, -1]
[misguide] = [direct, take, lead, conduct, guide, -1]
[mishegaas] = [folly, lunacy, craziness, indulgence, foolery, 1]
[mishegoss] = [folly, lunacy, craziness, indulgence, foolery, 1]
[misinform] = [deceive, sandbag, betray, lead_astray, tergiversate, -1]
[misinterpretation] = [misreading, misconstrual, misconstruction, imbroglio, interpretation, -1]
[misjudge] = [underestimate, err, overrate, mistake, miscalculate, -1]
[misleader] = [beguiler, slicker, leader, deceiver, cheat, -1]
[mismarry] = [marry, get_married, wed, conjoin, hook_up_with, -1]
[mismatched] = [mismated, unsuited, unmatched, odd, incompatible, -1]
[mismate] = [couple, pair, twin, match, mate, -1]
[misogamist] = [mortal, person, individual, someone, somebody, -1]
[misreckoning] = [error, fault, backfire, mistake, boomerang, -1]
[misrepresent] = [warp, dissemble, feign, sham, pretend, -1]
[misrepresentation] = [humbug, pretence, evasion, feigning, dissembling, -1]
[misrule] = [governing, administration, government, governance, government_activity, -1]
[misstep] = [flub, blunder, blooper, bungle, botch, -1]
[mistaking] = [misreading, misconstrual, misconstruction, imbroglio, interpretation, -1]
[mistreatment] = [maltreatment, abuse, vexation, harassment, disregard, -1]
[misuse] = [substance_abuse, drug_abuse, habit, usage, use, -1]
[mitigated] = [alleviated, eased, relieved, lessened, quenched, -1]
[mitt] = [hooks, meat_hooks, maulers, right, left, 1]
[mix_up] = [addle, muddle, puddle, assemble, piece, -1]
[moa] = [giant_moa, anomalopteryx, ratite, ratite_bird, flightless_bird, -1]
[moderating] = [analgesic, analgetic, anodyne, weakening, alleviative, 1]
[modern_dance] = [interpretive_dance, interpretive_dancing, interpretative_dance, interpretative_dancing, stage_dancing, -1]
[modification] = [laxation, change, tune, accommodation, loosening, -1]
[modify] = [temper, corrupt, cushion, syncopate, spoil, -1]
[modishness] = [elegance, jauntiness, rakishness, nattiness, dapperness, 1]
[module] = [understanding, intellect, ability, retentiveness, retentivity, 1]
[modus_operandi] = [rut, groove, rat_race, procedure, process, 1]
[moll] = [felon, crook, malefactor, outlaw, criminal, 1]
[mollify] = [tranquilize, tranquillize, calm_down, quieten, calm, 1]
[mollycoddler] = [mortal, person, individual, someone, somebody, 1]
[mongolianism] = [trisomy, birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, -1]
[mongolism] = [trisomy, birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, -1]
[monition] = [rebuke, reproof, reproval, reprehension, reprimand, 1]
[monkey_business] = [rascality, mischievousness, roguishness, deviltry, devilry, 1]
[monosaccharide] = [triose, tetrose, pentose, hexose, aldose, -1]
[monosaccharose] = [triose, tetrose, pentose, hexose, aldose, -1]
[monosemy] = [lucidness, clarity, clearness, lucidity, pellucidity, 1]
[monospaced_font] = [face, font, fount, typeface, case, -1]
[monstrosity] = [mutant, variation, sport, leviathan, mutation, -1]
[moodiness] = [moroseness, sullenness, ill_humor, glumness, distemper, -1]
[moon_blindness] = [visual_impairment, visual_defect, vision_defect, visual_disorder, avitaminosis, -1]
[moon_curser] = [criminal, outlaw, malefactor, felon, crook, -1]
[moral_philosophy] = [bioethics, hedonism, philosophy, casuistry, eudemonism, 1]
[moral_sense] = [morality, wee_small_voice, small_voice, voice_of_conscience, sense_of_shame, 1]
[moralist] = [utilitarian, egalitarian, equalitarian, elitist, philosopher, 1]
[morals] = [motive, need, motivation, conscience, scruples, -1]
[moratorium] = [hold, delay, wait, time_lag, postponement, 1]
[morgan_le_fay] = [fairy, faery, faerie, fay, sprite, -1]
[moronity] = [slowness, mental_retardation, backwardness, subnormality, retardation, -1]
[morosoph] = [saphead, muggins, tomfool, fool, sap, 1]
[morphia] = [analgesic, apomorphine, anodyne, painkiller, pain_pill, 1]
[mortal_sin] = [lust, luxuria, sinning, pride, superbia, 1]
[mother_wit] = [road_sense, sagacity, sagaciousness, logic, nous, 1]
[motor] = [electric_motor, engine, stepper, stepping_motor, machine, 1]
[motor_ataxia] = [hereditary_cerebellar_ataxia, herediatry_spinal_ataxia, nervous_disorder, neurological_disorder, neurological_disease, -1]
[motortruck] = [camion, rig, wrecker, dump_truck, dumper, 1]
[motorway] = [autobahn, autostrada, turnpike, toll_road, highway, 1]
[mountebank] = [slicker, beguiler, quack, phrenologist, craniologist, 1]
[mouse] = [house_mouse, harvest_mouse, field_mouse, fieldmouse, nude_mouse, -1]
[mouth_off] = [utter, talk, speak, mouth, verbalize, 1]
[movability] = [mobility, portability, looseness, play, unsteadiness, 1]
[movableness] = [mobility, portability, looseness, play, unsteadiness, 1]
[move_back] = [retreat, retrograde, back_up, move, go, -1]
[moving] = [kinetic, restless, afoot, ahorse, ahorseback, 1]
[ms] = [sclerosis, induration, degenerative_disorder, autoimmune_disease, autoimmune_disorder, -1]
[muckheap] = [heap, agglomerate, pile, mound, cumulation, -1]
[muckhill] = [heap, agglomerate, pile, mound, cumulation, -1]
[mud] = [soil, mire, dirt, bleaching_clay, bleaching_earth, -1]
[mud_flat] = [tract, piece_of_land, piece_of_ground, parcel_of_land, parcel, -1]
[muddy] = [dirty, soil, begrime, grime, colly, -1]
[muddy_up] = [dirty, soil, begrime, grime, colly, -1]
[mudhif] = [hut, hovel, hutch, shack, shanty, 1]
[muggins] = [morosoph, simpleton, flibbertigibbet, foolish_woman, simple, 1]
[mujahedeen_khalq] = [mujahidin, mujahedin, mujahedeen, mujahadeen, mujahadin, -1]
[multiple_sclerosis] = [sclerosis, induration, degenerative_disorder, autoimmune_disease, autoimmune_disorder, -1]
